key,zh_CN,en
"Q_CUL_HARD_1_O1","化学实验","Chemistry experiments"
"Q_CUL_HARD_1_O2","足球训练","Football training"
"Q_CUL_HARD_1_O3","机器人维修","Robot maintenance"
"Q_CUL_HARD_1_EXPLANATION","中文社围绕中文学习和文化交流。","A Chinese club focuses on Chinese learning and cultural exchange."
"Q_CUL_HARD_2_PROMPT","春节贴春联通常表达什么？","What do Spring Festival couplets usually express?"
"Q_CUL_HARD_2_O0","祝福和新年愿望","Blessings and New Year wishes"
"Q_CUL_HARD_2_O1","考试答案","Exam answers"
"Q_CUL_HARD_2_O2","地图路线","Map routes"
"Q_CUL_HARD_2_O3","购物清单","Shopping lists"
"Q_CUL_HARD_2_EXPLANATION","春联常表达祝福与新年愿望。","Spring couplets commonly express blessings and New Year wishes."
